# image_num	piece_num	piece_train piece_pred	training_time	prediction_time
2		740		518	    222		4.309283e-01	1.901727e-01
5		1850		1295	    555		1.638794e+00	8.571339e-01
10		3700		2590	    1110	4.934371e+00	2.429280e+00
20		7400		5180	    2220	1.423304e+01	7.363202e+00
50		18500		12950	    5550	6.101667e+01	3.104623e+01
100		37000		25900	    11100	1.798746e+02	9.449559e+01
